sigma,loss,loss_std,model
7.76207,0.0075646616157088,0.0001113327196574,IqpSimulator
7.33603,0.0079183881750936,0.0001029551469311,IqpSimulator
6.91,0.00830718299764,0.0001480472328524,IqpSimulator
6.48396,0.008483884844249,0.0001785290739197,IqpSimulator
6.05793,0.0082194521443978,0.0001675399396187,IqpSimulator
5.63189,0.0078774177691978,0.0001495636355953,IqpSimulator
5.20586,0.0076003726442564,0.0001299261886121,IqpSimulator
4.77982,0.0065110116199615,0.0001066573789174,IqpSimulator
4.35379,0.0054327231888256,9.611177685828034e-05,IqpSimulator
3.92775,0.0041783041466835,7.647323696491736e-05,IqpSimulator
7.76207,0.0435431033137516,0.0001201990228219,IqpSimulatorBitflip
7.33603,0.044295967085582,0.0001238427107254,IqpSimulatorBitflip
6.91,0.0440981635986471,0.0001258030993045,IqpSimulatorBitflip
6.48396,0.0426957852794745,0.0001253678285581,IqpSimulatorBitflip
6.05793,0.0398826087892506,0.0001217812806086,IqpSimulatorBitflip
5.63189,0.0355770010122281,0.000114376355603,IqpSimulatorBitflip
5.20586,0.0299176764252132,0.0001027894764756,IqpSimulatorBitflip
4.77982,0.0233417884326528,8.723930569063537e-05,IqpSimulatorBitflip
4.35379,0.0165820057085339,6.87879294012904e-05,IqpSimulatorBitflip
3.92775,0.0105060540851466,4.9390174582724816e-05,IqpSimulatorBitflip
7.76207,-7.672942740070965e-05,8.379636084558595e-05,True
7.33603,-6.99507531651919e-05,7.916616956642635e-05,True
6.91,-6.225385125612493e-05,7.349233763738922e-05,True
6.48396,-5.384697386394896e-05,6.683994823294497e-05,True
6.05793,-4.5043169520576906e-05,5.938124636263557e-05,True
5.63189,-3.6239116689228135e-05,5.1414658368373056e-05,True
5.20586,-2.7862541494744208e-05,4.335488683365239e-05,True
4.77982,-2.0286819897131872e-05,3.565367854917388e-05,True
4.35379,-1.3756392706295271e-05,2.863764689395431e-05,True
3.92775,-8.387054563428492e-06,2.2334483301357343e-05,True
7.76207,0.0486455462155281,0.0001449337484919,Random
7.33603,0.0489526730155751,0.0001456039688605,Random
6.91,0.0482092839972212,0.0001442485248289,Random
6.48396,0.0461709451842296,0.0001402645928995,Random
6.05793,0.0426557706636675,0.0001330663224469,Random
5.63189,0.0376247503180402,0.0001222177033675,Random
5.20586,0.0312771175879871,0.0001076268948839,Random
4.77982,0.0241192386522341,8.976412384600056e-05,Random
4.35379,0.0169408752980413,6.982481918208949e-05,Random
3.92775,0.0106266812402296,4.968992911315672e-05,Random
7.76207,0.2752922579497879,0.0027649833504626,RestrictedBoltzmannMachine
7.33603,0.2670784726221734,0.0027244777645121,RestrictedBoltzmannMachine
6.91,0.2546380743270904,0.002643664496367,RestrictedBoltzmannMachine
6.48396,0.2374716656107637,0.0025149268789243,RestrictedBoltzmannMachine
6.05793,0.2152958995437863,0.0023315877850092,RestrictedBoltzmannMachine
5.63189,0.188208832543076,0.002089606236525,RestrictedBoltzmannMachine
5.20586,0.156896753580523,0.0017901556608351,RestrictedBoltzmannMachine
4.77982,0.1228231607358654,0.001442841261481,RestrictedBoltzmannMachine
4.35379,0.0883297924209214,0.001069027554567,RestrictedBoltzmannMachine
3.92775,0.0564848270082889,0.0007031851072416,RestrictedBoltzmannMachine
7.76207,0.1085441429011455,0.0002628581718109,DeepEBM
7.33603,0.1028433069326053,0.0002494251918673,DeepEBM
6.91,0.095049609020766,0.0002320255223832,DeepEBM
6.48396,0.0851029729847005,0.000210657385315,DeepEBM
6.05793,0.073170720718388,0.0001857000906501,DeepEBM
5.63189,0.0597434537746307,0.000158025048797,DeepEBM
5.20586,0.0456970103149117,0.0001290233626603,DeepEBM
4.77982,0.0322365504044511,0.0001004302249938,DeepEBM
4.35379,0.0206515574844875,7.393681007342444e-05,DeepEBM
3.92775,0.011878330209983443,5.078348949254129e-05,DeepEBM
